"","state","solution_level","diversion_baseline","diversion_alternative"
"1","AL","Prevention","12310.229843285","37860.969287685"
"2","AL","Rescue","12612.219221857","21983.458839464"
"3","AL","Animal Feed","16514.375779845","16514.375779845"
"4","AL","Recycling","377269.129966138","434694.766493525"
"5","AK","Prevention","1542.634087363","5041.053162591"
"6","AK","Rescue","948.116080473","1534.360740295"
"7","AK","Animal Feed","1915.531711056","1915.531711056"
"8","AK","Recycling","49108.580630939","57185.499051614"
"9","AZ","Prevention","19989.016023497","64601.377586597"
"10","AZ","Rescue","54352.078506734","106789.119139091"
"11","AZ","Animal Feed","35009.90391716","35009.90391716"
"12","AZ","Recycling","646641.330349028","754762.208961012"
"13","AR","Prevention","10239.232336235","28544.592714221"
"14","AR","Rescue","8732.633615909","15919.450945743"
"15","AR","Animal Feed","28793.273565114","28793.273565114"
"16","AR","Recycling","292916.946279252","334576.996449931"
"17","CA","Prevention","72210.495189962","230682.647381462"
"18","CA","Rescue","386381.754811962","782318.582477414"
"19","CA","Animal Feed","359387.836123575","359387.836123575"
"20","CA","Recycling","2848143.48863698","3256797.87375439"
"21","CO","Prevention","16835.770869025","52538.122706675"
"22","CO","Rescue","15583.141919622","27026.48480874"
"23","CO","Animal Feed","24442.11038938","24442.11038938"
"24","CO","Recycling","541262.827861073","628241.860559646"
"25","CT","Prevention","8318.766074336","27145.433114641"
"26","CT","Rescue","5837.301088398","9193.767486936"
"27","CT","Animal Feed","9439.352667986","9439.352667986"
"28","CT","Recycling","267831.568249609","314306.939491941"
"29","DE","Prevention","2536.887429157","8095.007583292"
"30","DE","Rescue","3631.149333778","6806.621246985"
"31","DE","Animal Feed","4355.52876598","4355.52876598"
"32","DE","Recycling","81957.469736303","94950.169975787"
"33","FL","Prevention","59515.099780149","191555.327486599"
"34","FL","Rescue","81977.897389355","150532.519604587"
"35","FL","Animal Feed","130762.893903861","130762.893903861"
"36","FL","Recycling","2031277.75313159","2335609.10894191"
"37","GA","Prevention","26976.741406292","82341.076079992"
"38","GA","Rescue","46222.968205948","88121.587921229"
"39","GA","Animal Feed","55643.179945237","55643.179945237"
"40","GA","Recycling","864350.770068984","993098.089621559"
"41","HI","Prevention","2074.142017503","7000.684029813"
"42","HI","Rescue","2386.767818129","3964.907541867"
"43","HI","Animal Feed","4278.332457434","4278.332457434"
"44","HI","Recycling","84407.050889089","98046.317105783"
"45","ID","Prevention","3674.583821571","10833.981965856"
"46","ID","Rescue","24615.578683677","52188.815847817"
"47","ID","Animal Feed","54216.820794536","54216.820794536"
"48","ID","Recycling","255108.606325902","272330.457931777"
"49","IL","Prevention","32707.053707283","92017.359371983"
"50","IL","Rescue","29326.586967554","52221.049402204"
"51","IL","Animal Feed","116687.592533899","116687.592533899"
"52","IL","Recycling","1022672.10473102","1162101.40195809"
"53","IN","Prevention","20962.418749052","60027.892337102"
"54","IN","Rescue","18701.530666816","33456.230253409"
"55","IN","Animal Feed","48772.222736963","48772.222736963"
"56","IN","Recycling","605984.897374686","694980.873271412"
"57","IA","Prevention","13261.953478964","31755.276035364"
"58","IA","Rescue","8128.017123043","15614.260570442"
"59","IA","Animal Feed","65615.662071234","65615.662071234"
"60","IA","Recycling","359211.709181915","400138.58972546"
"61","KS","Prevention","8811.956292453","24540.859811853"
"62","KS","Rescue","6423.264799198","11013.423921821"
"63","KS","Animal Feed","20933.193110834","20933.193110834"
"64","KS","Recycling","251917.507677173","288125.588503145"
"65","KY","Prevention","13489.130156349","39943.238910849"
"66","KY","Rescue","9102.970280862","14718.210418091"
"67","KY","Animal Feed","23094.925577725","23094.925577725"
"68","KY","Recycling","397709.20852321","457959.010090686"
"69","LA","Prevention","12926.119154688","38401.640402188"
"70","LA","Rescue","11007.944817196","19265.847151328"
"71","LA","Animal Feed","100794.814875993","100794.814875993"
"72","LA","Recycling","516402.270952815","574967.840127237"
"73","ME","Prevention","4162.466271052","13212.672934337"
"74","ME","Rescue","6711.998046898","13130.166503611"
"75","ME","Animal Feed","7798.008928223","7798.008928223"
"76","ME","Recycling","139649.405567417","161138.582218373"
"77","MD","Prevention","13742.624295468","44309.263616018"
"78","MD","Rescue","12707.819524001","21253.731426472"
"79","MD","Animal Feed","16769.586593651","16769.586593651"
"80","MD","Recycling","451262.524729082","524237.314835802"
"81","MA","Prevention","18065.202509258","57748.931031358"
"82","MA","Rescue","15080.190252183","25290.059199818"
"83","MA","Animal Feed","22742.992520771","22742.992520771"
"84","MA","Recycling","582513.881409685","681452.493476616"
"85","MI","Prevention","25088.472576212","75064.723606612"
"86","MI","Rescue","40086.093918068","76302.14123896"
"87","MI","Animal Feed","71648.228442114","71648.228442114"
"88","MI","Recycling","816186.768513473","933215.703040048"
"89","MN","Prevention","15021.986926914","40817.052977114"
"90","MN","Rescue","14858.115771008","28097.370747403"
"91","MN","Animal Feed","121874.003673475","121874.003673475"
"92","MN","Recycling","576166.88674477","636597.032862279"
"93","MS","Prevention","7503.048698523","23048.706917023"
"94","MS","Rescue","10077.50397068","18577.171761682"
"95","MS","Animal Feed","13191.971322529","13191.971322529"
"96","MS","Recycling","231759.692077719","266982.913545367"
"97","MO","Prevention","17100.011045169","48145.169955819"
"98","MO","Rescue","13981.505379897","24342.195989838"
"99","MO","Animal Feed","64830.394136247","64830.394136247"
"100","MO","Recycling","540498.778555984","610410.851779874"
"101","MT","Prevention","2030.53485085","6286.08397022"
"102","MT","Rescue","2085.02113266","3624.71501053"
"103","MT","Animal Feed","3340.879428693","3340.879428693"
"104","MT","Recycling","67401.730601486","77669.690293559"
