state,solution_level,total_fw_2021,population_2021,factor_low,factor_high,total_fw_2021_tons_per_capita
AL,Prevention,1100735,5049846,0.05,0.1,0.218
AL,Rescue,1100735,5049846,0.2,0.4,0.218
AL,Animal Feed,1100735,5049846,0.05,0.1,0.218
AL,Recycling,1100735,5049846,0.1,0.2,0.218
AK,Prevention,135146,734182,0.3,0.6,0.184
AK,Rescue,135146,734182,0.3,0.6,0.184
AK,Animal Feed,135146,734182,0.05,0.1,0.184
AK,Recycling,135146,734182,0.1,0.2,0.184
AR,Prevention,885568,7264877,0.3,0.6,0.122
AR,Rescue,885568,7264877,0.2,0.4,0.122
AR,Animal Feed,885568,7264877,0.05,0.1,0.122
AR,Recycling,885568,7264877,0.1,0.2,0.122
AZ,Prevention,2491171,3028122,0.3,0.6,0.823
AZ,Rescue,2491171,3028122,0.3,0.6,0.823
AZ,Animal Feed,2491171,3028122,0.3,0.6,0.823
AZ,Recycling,2491171,3028122,0.1,0.2,0.823
CA,Prevention,13621898,39142991,0.3,0.6,0.348
CA,Rescue,13621898,39142991,0.5,1,0.348
CA,Animal Feed,13621898,39142991,0.3,0.6,0.348
CA,Recycling,13621898,39142991,0.5,1,0.348
CO,Prevention,1548109,5811297,0.05,0.1,0.266
CO,Rescue,1548109,5811297,0.2,0.4,0.266
CO,Animal Feed,1548109,5811297,0.3,0.6,0.266
CO,Recycling,1548109,5811297,0.1,0.2,0.266
CT,Prevention,749580,3623355,0.3,0.6,0.207
CT,Rescue,749580,3623355,0.2,0.4,0.207
CT,Animal Feed,749580,3623355,0.3,0.6,0.207
CT,Recycling,749580,3623355,0.3,0.6,0.207
DE,Prevention,265345,1004807,0.3,0.6,0.264
DE,Rescue,265345,1004807,0.2,0.4,0.264
DE,Animal Feed,265345,1004807,0.05,0.1,0.264
DE,Recycling,265345,1004807,0.1,0.2,0.264
FL,Prevention,6445917,21828069,0.05,0.1,0.295
FL,Rescue,6445917,21828069,0.2,0.4,0.295
FL,Animal Feed,6445917,21828069,0.3,0.6,0.295
FL,Recycling,6445917,21828069,0.1,0.2,0.295
GA,Prevention,2845545,10788029,0.05,0.1,0.264
GA,Rescue,2845545,10788029,0.2,0.4,0.264
GA,Animal Feed,2845545,10788029,0.05,0.1,0.264
GA,Recycling,2845545,10788029,0.1,0.2,0.264
HI,Prevention,243236,1447154,0.05,0.1,0.168
HI,Rescue,243236,1447154,0.3,0.6,0.168
HI,Animal Feed,243236,1447154,0.3,0.6,0.168
HI,Recycling,243236,1447154,0.1,0.2,0.168
ID,Prevention,950547,1904314,0.3,0.6,0.499
ID,Rescue,950547,1904314,0.2,0.4,0.499
ID,Animal Feed,950547,1904314,0.05,0.1,0.499
ID,Recycling,950547,1904314,0.1,0.2,0.499
IL,Prevention,3110051,12686469,0.05,0.1,0.245
IL,Rescue,3110051,12686469,0.2,0.4,0.245
IL,Animal Feed,3110051,12686469,0.05,0.1,0.245
IL,Recycling,3110051,12686469,0.1,0.2,0.245
IN,Prevention,1826614,6813532,0.3,0.6,0.268
IN,Rescue,1826614,6813532,0.2,0.4,0.268
IN,Animal Feed,1826614,6813532,0.3,0.6,0.268
IN,Recycling,1826614,6813532,0.1,0.2,0.268
IA,Prevention,1117677,3197689,0.3,0.6,0.350
IA,Rescue,1117677,3197689,0.3,0.6,0.350
IA,Animal Feed,1117677,3197689,0.2,0.4,0.350
IA,Recycling,1117677,3197689,0.1,0.2,0.350
KS,Prevention,722614,2937922,0.3,0.6,0.246
KS,Rescue,722614,2937922,0.2,0.4,0.246
KS,Animal Feed,722614,2937922,0.05,0.1,0.246
KS,Recycling,722614,2937922,0.1,0.2,0.246
KY,Prevention,1110988,4506589,0.05,0.1,0.247
KY,Rescue,1110988,4506589,0.3,0.6,0.247
KY,Animal Feed,1110988,4506589,0.05,0.1,0.247
KY,Recycling,1110988,4506589,0.1,0.2,0.247
LA,Prevention,1638634,4627098,0.05,0.1,0.354
LA,Rescue,1638634,4627098,0.2,0.4,0.354
LA,Animal Feed,1638634,4627098,0.05,0.1,0.354
LA,Recycling,1638634,4627098,0.1,0.2,0.354
ME,Prevention,438625,1377238,0.3,0.6,0.318
ME,Rescue,438625,1377238,0.2,0.4,0.318
ME,Animal Feed,438625,1377238,0.3,0.6,0.318
ME,Recycling,438625,1377238,0.1,0.2,0.318
MD,Prevention,1293715,6174610,0.05,0.1,0.210
MD,Rescue,1293715,6174610,0.3,0.6,0.210
MD,Animal Feed,1293715,6174610,0.3,0.6,0.210
MD,Recycling,1293715,6174610,0.2,0.4,0.210
MA,Prevention,1664439,6989690,0.05,0.1,0.238
MA,Rescue,1664439,6989690,0.3,0.6,0.238
MA,Animal Feed,1664439,6989690,0.05,0.1,0.238
MA,Recycling,1664439,6989690,0.3,0.6,0.238
MI,Prevention,2680668,10037504,0.05,0.1,0.267
MI,Rescue,2680668,10037504,0.2,0.4,0.267
MI,Animal Feed,2680668,10037504,0.3,0.6,0.267
MI,Recycling,2680668,10037504,0.1,0.2,0.267
MN,Prevention,1901750,5711471,0.3,0.6,0.333
MN,Rescue,1901750,5711471,0.2,0.4,0.333
MN,Animal Feed,1901750,5711471,0.2,0.4,0.333
MN,Recycling,1901750,5711471,0.1,0.2,0.333
MS,Prevention,707626,2949586,0.3,0.6,0.240
MS,Rescue,707626,2949586,0.2,0.4,0.240
MS,Animal Feed,707626,2949586,0.05,0.1,0.240
MS,Recycling,707626,2949586,0.1,0.2,0.240
MO,Prevention,1620422,6169823,0.3,0.6,0.263
MO,Rescue,1620422,6169823,0.3,0.6,0.263
