"","state","solution_level","fw_kg_per_capita","scenario","conversion_factor","diversion_potential_kg_per_capita"
"1","AL","Prevention",197.76633,"alternative","high",0.680157442885358
"2","AL","Prevention",197.76633,"alternative","low",0.340078721442679
"3","AL","Prevention",197.76633,"baseline","high",0.221148444138306
"4","AL","Prevention",197.76633,"baseline","low",0.110574222069153
"5","AL","Rescue",197.76633,"alternative","high",1.5796968150933
"6","AL","Rescue",197.76633,"alternative","low",0.789848407546652
"7","AL","Rescue",197.76633,"baseline","high",0.90629425885703
"8","AL","Rescue",197.76633,"baseline","low",0.453147129428515
"9","AL","Animal Feed",197.76633,"alternative","high",0.296674274657855
"10","AL","Animal Feed",197.76633,"alternative","low",0.148337137328927
"11","AL","Animal Feed",197.76633,"baseline","high",0.296674274657855
"12","AL","Animal Feed",197.76633,"baseline","low",0.148337137328927
"13","AL","Recycling",197.76633,"alternative","high",15.6182414965299
"14","AL","Recycling",197.76633,"alternative","low",7.80912074826497
"15","AL","Recycling",197.76633,"baseline","high",13.5549834853709
"16","AL","Recycling",197.76633,"baseline","low",6.77749174268544
"17","AL","All",197.76633,"alternative","high",18.1747700291665
"18","AL","All",197.76633,"alternative","low",9.08738501458323
"19","AL","All",197.76633,"baseline","high",14.9791004630241
"20","AL","All",197.76633,"baseline","low",7.48955023151203
"21","AK","Prevention",166.92204,"alternative","high",3.73735761430145
"22","AK","Prevention",166.92204,"alternative","low",1.86867880715073
"23","AK","Prevention",166.92204,"baseline","high",1.14368467590685
"24","AK","Prevention",166.92204,"baseline","low",0.571842337953424
"25","AK","Rescue",166.92204,"alternative","high",1.13755094637394
"26","AK","Rescue",166.92204,"alternative","low",0.56877547318697
"27","AK","Rescue",166.92204,"baseline","high",0.702918366124938
"28","AK","Rescue",166.92204,"baseline","low",0.351459183062469
"29","AK","Animal Feed",166.92204,"alternative","high",0.236690852580741
"30","AK","Animal Feed",166.92204,"alternative","low",0.118345426290371
"31","AK","Animal Feed",166.92204,"baseline","high",0.236690852580741
"32","AK","Animal Feed",166.92204,"baseline","low",0.118345426290371
"33","AK","Recycling",166.92204,"alternative","high",14.1321435167679
"34","AK","Recycling",166.92204,"alternative","low",7.06607175838395
"35","AK","Recycling",166.92204,"baseline","high",12.1361100434711
"36","AK","Recycling",166.92204,"baseline","low",6.06805502173554
"37","AK","All",166.92204,"alternative","high",19.243742930024
"38","AK","All",166.92204,"alternative","low",9.62187146501202
"39","AK","All",166.92204,"baseline","high",14.2194039380836
"40","AK","All",166.92204,"baseline","low",7.1097019690418
"41","AZ","Prevention",746.613255,"alternative","high",11.6122271280808
"42","AZ","Prevention",746.613255,"alternative","low",5.80611356404038
"43","AZ","Prevention",746.613255,"baseline","high",3.59306570236129
"44","AZ","Prevention",746.613255,"baseline","low",1.79653285118065
"45","AZ","Rescue",746.613255,"alternative","high",19.195558246239
"46","AZ","Rescue",746.613255,"alternative","low",9.5977791231195
"47","AZ","Rescue",746.613255,"baseline","high",9.76989507162489
"48","AZ","Rescue",746.613255,"baseline","low",4.88494753581244
"49","AZ","Animal Feed",746.613255,"alternative","high",6.29310041373937
"50","AZ","Animal Feed",746.613255,"alternative","low",3.14655020686968
"51","AZ","Animal Feed",746.613255,"baseline","high",6.29310041373937
"52","AZ","Animal Feed",746.613255,"baseline","low",3.14655020686968
"53","AZ","Recycling",746.613255,"alternative","high",45.2233400461603
"54","AZ","Recycling",746.613255,"alternative","low",22.6116700230802
"55","AZ","Recycling",746.613255,"baseline","high",38.7450251524003
"56","AZ","Recycling",746.613255,"baseline","low",19.3725125762001
"57","AZ","All",746.613255,"alternative","high",82.3242258342195
"58","AZ","All",746.613255,"alternative","low",41.1621129171097
"59","AZ","All",746.613255,"baseline","high",58.4010863401258
"60","AZ","All",746.613255,"baseline","low",29.2005431700629
"61","AR","Prevention",110.67657,"alternative","high",2.13866467455269
"62","AR","Prevention",110.67657,"alternative","low",1.06933233727635
"63","AR","Prevention",110.67657,"baseline","high",0.767160516574253
"64","AR","Prevention",110.67657,"baseline","low",0.383580258287126
"65","AR","Rescue",110.67657,"alternative","high",0.79516209875068
"66","AR","Rescue",110.67657,"alternative","low",0.39758104937534
"67","AR","Rescue",110.67657,"baseline","high",0.436187108293694
"68","AR","Rescue",110.67657,"baseline","low",0.218093554146847
"69","AR","Animal Feed",110.67657,"alternative","high",0.359549458017912
"70","AR","Animal Feed",110.67657,"alternative","low",0.179774729008956
"71","AR","Animal Feed",110.67657,"baseline","high",0.359549458017912
"72","AR","Animal Feed",110.67657,"baseline","low",0.179774729008956
"73","AR","Recycling",110.67657,"alternative","high",8.35590836636135
"74","AR","Recycling",110.67657,"alternative","low",4.17795418318067
"75","AR","Recycling",110.67657,"baseline","high",7.31546755465628
